P/T (kPa/K),Den (Kg/cu m),Temp (C),Pres (kPa),Alt (m)
1.14468101059389E-05,3.9898E-5,105.299000,4.3315E-3,79100
1.14580209064731E-05,3.9937E-5,105.269100,4.3354E-3,79090
1.14692435739163E-05,3.9976E-5,105.239200,4.3393E-3,79080
1.14804781217693E-05,4.0016E-5,105.209300,4.3432E-3,79070
1.14917245635493E-05,4.0055E-5,105.179400,4.3471E-3,79060
1.15029829127898E-05,4.0094E-5,105.149500,4.3510E-3,79050
1.1514253183041E-05,4.0133E-5,105.119600,4.3549E-3,79040
1.15255353878694E-05,4.0173E-5,105.089700,4.3588E-3,79030
1.15368295408582E-05,4.0212E-5,105.059800,4.3628E-3,79020
1.1548135655607E-05,4.0251E-5,105.029900,4.3667E-3,79010
1.15594537457319E-05,4.0291E-5,105.000000,4.3706E-3,79000
1.15707838248658E-05,4.0330E-5,104.970100,4.3746E-3,78990
1.1582125906658E-05,4.0370E-5,104.940200,4.3785E-3,78980
1.15934800047744E-05,4.0409E-5,104.910300,4.3825E-3,78970
1.16048461328978E-05,4.0449E-5,104.880400,4.3864E-3,78960
1.16162243047274E-05,4.0489E-5,104.850500,4.3904E-3,78950
1.16276145339792E-05,4.0528E-5,104.820600,4.3943E-3,78940
1.16390168343859E-05,4.0568E-5,104.790700,4.3983E-3,78930
1.16504312196969E-05,4.0608E-5,104.760800,4.4022E-3,78920
1.16618577036784E-05,4.0648E-5,104.730900,4.4062E-3,78910
1.16732963001132E-05,4.0688E-5,104.701000,4.4102E-3,78900
1.16847470228012E-05,4.0728E-5,104.671100,4.4142E-3,78890
1.16962098855589E-05,4.0768E-5,104.641200,4.4181E-3,78880
1.17076849022197E-05,4.0808E-5,104.611300,4.4221E-3,78870
1.17191720866339E-05,4.0848E-5,104.581400,4.4261E-3,78860
1.17306714526684E-05,4.0888E-5,104.551500,4.4301E-3,78850
1.17421830142075E-05,4.0928E-5,104.521600,4.4341E-3,78840
1.17537067851521E-05,4.0968E-5,104.491700,4.4381E-3,78830
1.176524277942E-05,4.1008E-5,104.461800,4.4421E-3,78820
1.17767910109461E-05,4.1048E-5,104.431900,4.4461E-3,78810
1.17883514936824E-05,4.1089E-5,104.402000,4.4501E-3,78800
1.17999242415976E-05,4.1129E-5,104.372100,4.4541E-3,78790
1.18115092686777E-05,4.1169E-5,104.342200,4.4582E-3,78780
1.18231065889258E-05,4.1210E-5,104.312300,4.4622E-3,78770
1.18347162163617E-05,4.1250E-5,104.282400,4.4662E-3,78760
1.18463381650228E-05,4.1291E-5,104.252500,4.4702E-3,78750
1.18579724489632E-05,4.1331E-5,104.222600,4.4743E-3,78740
1.18696190822544E-05,4.1372E-5,104.192700,4.4783E-3,78730
1.1881278078985E-05,4.1413E-5,104.162800,4.4824E-3,78720
1.18929494532608E-05,4.1453E-5,104.132900,4.4864E-3,78710
1.19046332192048E-05,4.1494E-5,104.103000,4.4905E-3,78700
1.19163293909573E-05,4.1535E-5,104.073100,4.4945E-3,78690
1.19280379826756E-05,4.1576E-5,104.043200,4.4986E-3,78680
1.19397590085347E-05,4.1616E-5,104.013300,4.5026E-3,78670
1.19514924827265E-05,4.1657E-5,103.983400,4.5067E-3,78660
1.19632384194605E-05,4.1698E-5,103.953500,4.5108E-3,78650
1.19749968329635E-05,4.1739E-5,103.923600,4.5149E-3,78640
1.19867677374795E-05,4.1780E-5,103.893700,4.5189E-3,78630
1.19985511472701E-05,4.1821E-5,103.863800,4.5230E-3,78620
1.20103470766143E-05,4.1862E-5,103.833900,4.5271E-3,78610
1.20221555398083E-05,4.1904E-5,103.804000,4.5312E-3,78600
1.20339765511661E-05,4.1945E-5,103.774100,4.5353E-3,78590
1.20458101250189E-05,4.1986E-5,103.744200,4.5394E-3,78580
1.20576562757156E-05,4.2027E-5,103.714300,4.5435E-3,78570
1.20695150176225E-05,4.2069E-5,103.684400,4.5476E-3,78560
1.20813863651236E-05,4.2110E-5,103.654500,4.5517E-3,78550
1.20932703326203E-05,4.2152E-5,103.624600,4.5558E-3,78540
1.21051669345317E-05,4.2193E-5,103.594700,4.5600E-3,78530
1.21170761852945E-05,4.2234E-5,103.564800,4.5641E-3,78520
1.2128998099363E-05,4.2276E-5,103.534900,4.5682E-3,78510
1.21409326912094E-05,4.2318E-5,103.505000,4.5723E-3,78500
1.21528799753232E-05,4.2359E-5,103.475100,4.5765E-3,78490
1.21648399662119E-05,4.2401E-5,103.445200,4.5806E-3,78480
1.21768126784006E-05,4.2443E-5,103.415300,4.5848E-3,78470
1.21887981264323E-05,4.2484E-5,103.385400,4.5889E-3,78460
1.22007963248676E-05,4.2526E-5,103.355500,4.5931E-3,78450
1.22128072882851E-05,4.2568E-5,103.325600,4.5972E-3,78440
1.2224831031281E-05,4.2610E-5,103.295700,4.6014E-3,78430
1.22368675684696E-05,4.2652E-5,103.265800,4.6055E-3,78420
1.22489169144829E-05,4.2694E-5,103.235900,4.6097E-3,78410
1.22609790839709E-05,4.2736E-5,103.206000,4.6139E-3,78400
1.22730540916014E-05,4.2778E-5,103.176100,4.6181E-3,78390
1.22851419520603E-05,4.2820E-5,103.146200,4.6222E-3,78380
1.22972426800513E-05,4.2862E-5,103.116300,4.6264E-3,78370
1.23093562902962E-05,4.2905E-5,103.086400,4.6306E-3,78360
1.23214827975349E-05,4.2947E-5,103.056500,4.6348E-3,78350
1.23336222165252E-05,4.2989E-5,103.026600,4.6390E-3,78340
1.23457745620428E-05,4.3032E-5,102.996700,4.6432E-3,78330
1.2357939848882E-05,4.3074E-5,102.966800,4.6474E-3,78320
1.23701180918546E-05,4.3116E-5,102.936900,4.6516E-3,78310
1.2382309305791E-05,4.3159E-5,102.907000,4.6558E-3,78300
1.23945135055396E-05,4.3202E-5,102.877100,4.6601E-3,78290
1.24067307059668E-05,4.3244E-5,102.847200,4.6643E-3,78280
1.24189609219576E-05,4.3287E-5,102.817300,4.6685E-3,78270
1.24312041684148E-05,4.3329E-5,102.787400,4.6727E-3,78260
1.24434604602596E-05,4.3372E-5,102.757500,4.6770E-3,78250
1.24557298124318E-05,4.3415E-5,102.727600,4.6812E-3,78240
1.24680122398889E-05,4.3458E-5,102.697700,4.6855E-3,78230
1.24803077576073E-05,4.3501E-5,102.667800,4.6897E-3,78220
1.24926163805813E-05,4.3543E-5,102.637900,4.6939E-3,78210
1.25049381238239E-05,4.3586E-5,102.608000,4.6982E-3,78200
1.25172730023663E-05,4.3629E-5,102.578100,4.7025E-3,78190
1.25296210312581E-05,4.3672E-5,102.548200,4.7067E-3,78180
1.25419822255676E-05,4.3716E-5,102.518300,4.7110E-3,78170
